Country,Year,Undernourishment,ChildWasting,ChildStunting,ChildMortality,GHI_Score
Afghanistan,2000,45.8,8.6,55.5,13.2,49.6
Albania,2000,4.8,6.4,29.9,2.7,15.3
Algeria,2000,7.3,3.1,22.4,4.2,14.1
Angola,2000,67.8,8.9,47.5,20.3,63.8
Argentina,2000,3.0,2.1,9.3,1.9,6.5
Armenia,2000,28.6,2.5,17.1,3.1,20.3
Azerbaijan,2000,17.8,9.0,24.3,7.4,25.2
Bangladesh,2000,15.5,12.5,54.9,8.5,34.6
Belarus,2000,2.7,1.7,5.4,1.3,2.5
Benin,2000,14.3,9.0,34.8,13.6,32.2
Bolivia (Plurinat. State of),2000,26.6,1.6,33.0,7.6,27.0
Bosnia & Herzegovina,2000,3.6,7.4,12.5,1.0,9.5
Botswana,2000,28.1,5.9,30.3,8.1,29.9
Brazil,2000,10.5,2.9,9.9,3.4,11.6
Bulgaria,2000,4.9,5.1,8.7,1.8,8.6
Burkina Faso,2000,22.4,15.5,40.4,17.8,44.5
Cabo Verde,2000,16.2,4.0,15.9,3.6,16.2
Cambodia,2000,19.7,17.1,50.6,10.6,39.8
Cameroon,2000,24.2,7.3,37.4,14.4,36.8
Central African Republic,2000,35.9,10.4,43.2,16.6,46.8
Chad,2000,34.4,13.9,42.2,18.4,49.6
Chile,2000,2.9,0.5,2.9,1.1,2.5
China,2000,10.0,2.5,20.0,3.7,13.8
Colombia,2000,8.6,1.0,17.4,2.5,10.7
Comoros,2000,24.7,13.3,43.8,8.0,35.7
Congo (Republic of),2000,26.3,9.6,33.6,11.4,35.1
Costa Rica,2000,4.6,1.8,7.1,1.3,5.9
Côte d'Ivoire,2000,18.9,6.9,32.4,14.1,32.8
Croatia,2000,10.6,1.1,5.400000095367432,0.8,7.1
Dem. Rep. of the Congo,2000,26.8,15.9,46.0,15.9,46.1
Djibouti,2000,40.8,19.4,31.8,9.9,44.8
Dominican Republic,2000,19.7,1.5,10.1,4.0,15.2
Ecuador,2000,20.0,2.7,27.2,3.0,19.1
Egypt,2000,4.8,6.9,25.9,4.7,16.4
El Salvador,2000,6.9,1.5,28.7,3.2,13.6
Estonia,2000,3.6,1.6,2.1,1.1,2.5
Eswatini,2000,9.8,1.7,35.7,10.9,23.9
Ethiopia,2000,46.1,12.4,56.9,14.0,53.0
Fiji,2000,3.6,7.4,6.0,2.3,9.2
Gabon,2000,10.6,4.2,25.5,7.4,19.8
Gambia,2000,16.9,9.1,27.7,11.3,29.5
Georgia,2000,6.6,3.1,16.2,3.6,11.8
Ghana,2000,14.8,9.9,32.8,10.0,29.0
Guatemala,2000,22.4,3.7,53.2,5.2,29.0
Guinea,2000,18.0,10.3,33.1,16.5,36.8
Guinea-Bissau,2000,15.6,11.8,33.4,17.4,37.6
Guyana,2000,5.7,12.1,14.4,4.7,17.0
Haiti,2000,48.0,5.5,30.4,10.3,40.2
Honduras,2000,21.1,1.3,36.4,3.7,21.7
Hungary,2000,1.25,1.0,3.4000000953674316,1.0,2.5
India,2000,18.1,17.9,50.0,9.2,38.1
Indonesia,2000,18.1,5.5,39.8,5.2,25.0
Iran (Islamic Republic of),2000,4.9,6.1,14.8,3.6,12.4
